Rec ID,Received Date,Location,Title,Subtitle,Edition,Year,Type,Author,Volume No(s),Sub Beg Date,Sub End Date,Vendor ID,Publisher,ISBN or MAT No,Record Comments,Qty, Price Ea , Disc Ea , S/H Ea , Total Per Book , Original Cost(Balances at 3/31) ,Delete Date,Delete Code,Qty Deleted,Vols Deleted,Last Physical Inventory Date,Return to Inventory Date,Transfer To/From Agency,Transfer Date,Delete Comments,Voucher No.,Voucher Date, Voucher Amount ,Fiscal Year,Invoice #,Invoice Date,Appropriation Code,Sub Suba,DOC,Obligation No.,PC,Voucher Comments
,9/1/1972,Administrative,SIXTH ILL CONST CONVENTION,,,,,,1 - 7,,,1808,Secretary of State,,,1, $-   ,,, $-   , $-   ,,,,,,,,,,,,,,,,,,1560,,Y,
,7/1/1975,2nd District,US SUPREME COURT REPORTS 2D,,,,,,044,,,1790,Lawyers Co-Op,,,1, $18.50 ,, $1.05 , $19.55 , $19.55 ,,,,,,,,,,,,,1976,,,,,0,,Y,
,7/1/1975,3rd District,US SUPREME COURT REPORTS 2D,,,,,,004,,,1790,Lawyers Co-Op,,,1, $18.50 ,, $1.05 , $19.55 , $19.55 ,,,,,,,,,,,,,1976,,,,,0,,Y,
,7/1/1975,5th District,US SUPREME COURT REPORTS 2D,,,,,,044,,,1790,Lawyers Co-Op,,,1, $18.50 ,, $1.05 , $19.55 , $19.55 ,,,,,,,,,,,,,1976,,,,,0,,Y,
,7/1/1975,1st District,US SUPREME COURT REPORTS 2D,,,,,,044,,,1790,Lawyers Co-Op,,ADM & SPI SENT TO SURPLUS 05/05,1, $18.50 , $-   , $1.05 , $19.55 , $19.55 ,,,,,,,,,,,,,1976,,,,,0,,Y,
,7/1/1976,1st District,S-H STAT,,,,,,Ch 110A,,,1011,West,,SEC 321-500 AND 501-END (3 SETS),1, $144.00 , $-   , $5.00 , $139.00 , $139.00 ,,,,,,,,,,,,,1977,,,,,0,,Y,
,7/7/1976,2nd District,NE,,,,,,342 - 355,,,1011,West,,4TH DIST. SENT TO SURPLUS 05/05,14, $16.00 , $-   , $-   , $16.00 , $224.00 ,,,,,,,,,,,,,1977,,,,,0,,Y,
,7/7/1976,5th District,NE,,,,,,342-355,,,1011,West,,,14, $16.00 ,,, $16.00 , $224.00 ,,,,,,,,,,,,,1977,,,,,0,,Y,
,8/1/1976,2nd District,US SUPREME COURT REPORTS 2D,,,,,,045,,,1790,Lawyers Co-Op,,,1, $18.50 ,, $1.05 , $19.55 , $19.55 ,,,,,,,,,,,,,1977,,,,,0,,Y,
,8/1/1976,3rd District,US SUPREME COURT REPORTS 2D,,,,,,045,,,1790,Lawyers Co-Op,,,1, $18.50 ,, $1.05 , $19.55 , $19.55 ,,,,,,,,,,,,,1977,,,,,0,,Y,
,8/1/1976,5th District,US SUPREME COURT REPORTS 2D,,,,,,045,,,1790,Lawyers Co-Op,,,1, $18.50 ,, $1.05 , $19.55 , $19.55 ,,,,,,,,,,,,,1977,,,,,0,,Y,
,8/1/1976,1st District,US SUPREME COURT REPORTS 2D,,,,,,045,,,1790,Lawyers Co-Op,,ADM & SPI SENT TO SURPLUS 05/05,1, $18.50 , $-   , $1.05 , $19.55 , $19.55 ,,,,,,,,,,,,,1977,,,,,0,,Y,
,2/2/1977,1st District,US SUPREME COURT REPORTS 2D,,,,,,046 - 048,,,1790,Lawyers Co-Op,,ADM & SPI SENT TO SURPLUS 05/05,3, $19.50 , $-   , $1.15 , $20.65 , $61.95 ,,,,,,,,,,,,,1977,,,,,0,,Y,
,2/2/1977,3rd District,US SUPREME COURT REPORTS 2D,,,,,,046 - 048,,,1790,Lawyers Co-Op,,,3, $19.50 ,, $1.15 , $20.65 , $61.95 ,,,,,,,,,,,,,1977,,,,,0,,Y,
,2/2/1977,2nd District,US SUPREME COURT REPORTS 2D,,,,,,046-048,,,1790,Lawyers Co-Op,,,3, $19.50 ,, $1.15 , $20.65 , $61.95 ,,,,,,,,,,,,,1977,,,,,0,,Y,
,2/2/1977,5th District,US SUPREME COURT REPORTS 2D,,,,,,046 - 048,,,1790,Lawyers Co-Op,,,3, $19.50 ,, $1.15 , $20.65 , $61.95 ,,,,,,,,,,,,,1977,,,,,0,,Y,
,3/3/1977,2nd District,NE,,,,,,356 - 359,,,1011,West,,ADM SENT TO BELLEVILLE,4, $25.00 , $-   , $-   , $25.00 , $100.00 ,,,,,,,,,,,,,1977,,,,,0,,Y,
,3/3/1977,5th District,NE,,,,,,356-359,,,1011,West,,,4, $25.00 ,,, $25.00 , $100.00 ,,,,,,,,,,,,,1977,,,,,0,,Y,
,4/1/1977,1st District,S-H STAT,,,,,,Ch 110 1/2 - 111 1/2,,,1011,West,,SEC 1-550 & 551-END,1, $48.00 , $5.00 , $-   , $43.00 , $43.00 ,,,,,,,,,,,,,1977,,,,,0,,Y,
,7/7/1977,2nd District,NE,,,,,,360 - 369,,,1011,West,,V 367 Replaced for Springfield 1/91,10, $25.00 , $-   , $-   , $25.00 , $250.00 ,,,,,,,,,,,,,1978,,,,,0,,Y,ADM SENT TO BELLEVILLE
,7/7/1977,5th District,NE,,,,,,360-369,,,1011,West,,,10, $25.00 ,,, $25.00 , $250.00 ,,,,,,,,,,,,,1978,,,,,0,,Y,
,8/7/1977,2nd District,US SUPREME COURT REPORTS 2D,,,,,,049,,,1790,Lawyers Co-Op,,,1, $19.50 ,, $1.15 , $20.65 , $20.65 ,,,,,,,,,,,,,1978,,,,,0,,Y,
,8/7/1977,3rd District,US SUPREME COURT REPORTS 2D,,,,,,049,,,1790,Lawyers Co-Op,,,1, $19.50 ,, $1.15 , $20.65 , $20.65 ,,,,,,,,,,,,,1978,,,,,0,,Y,
,8/7/1977,5th District,US SUPREME COURT REPORTS 2D,,,,,,049,,,1790,Lawyers Co-Op,,,1, $19.50 ,, $1.15 , $20.65 , $20.65 ,,,,,,,,,,,,,1978,,,,,0,,Y,
,8/7/1977,1st District,US SUPREME COURT REPORTS 2D,,,,,,049,,,1790,Lawyers Co-Op,,ADM & SPI SENT TO SURPLUS 05/05,1, $19.50 , $-   , $1.15 , $20.65 , $20.65 ,,,,,,,,,,,,,1978,,,,,0,,Y,
,2/1/1978,1st District,US SUPREME COURT REPORTS 2D,,,,,,050 - 052,,,1790,Lawyers Co-Op,,ADM & SPI SENT TO SURPLUS 05/05,3, $21.00 , $-   , $1.40 , $22.40 , $67.20 ,,,,,,,,,,,,,1978,,,,,0,,Y,
,2/1/1978,2nd District,US SUPREME COURT REPORTS 2D,,,,,,050-052,,,1790,Lawyers Co-Op,,,3, $21.00 ,, $1.40 , $22.40 , $67.20 ,,,,,,,,,,,,,1978,,,,,0,,Y,
,2/1/1978,3rd District,US SUPREME COURT REPORTS 2D,,,,,,050-052,,,1790,Lawyers Co-Op,,,3, $21.00 ,, $1.40 , $22.40 , $67.20 ,,,,,,,,,,,,,1978,,,,,0,,Y,
,2/1/1978,5th District,US SUPREME COURT REPORTS 2D,,,,,,050-052,,,1790,Lawyers Co-Op,,,3, $21.00 ,, $1.40 , $22.40 , $67.20 ,,,,,,,,,,,,,1978,,,,,0,,Y,
,4/4/1978,2nd District,NE,,,,,,370 - 372,,,1011,West,,ADM SENT TO BELLEVILLE,3, $26.00 , $-   , $-   , $26.00 , $78.00 ,,,,,,,,,,,,,1978,,,,,0,,Y,
,4/4/1978,5th District,NE,,,,,,370-372,,,1011,West,,,3, $26.00 ,,, $26.00 , $78.00 ,,,,,,,,,,,,,1978,,,,,0,,Y,
,6/1/1978,1st District,S-H STAT,,,,,,Ch 110 1/2,,,1011,West,,"SEC 1-1/5 -END, 601/9 - END, 20-1 - END & PAMPHLET",1, $72.50 , $5.00 , $-   , $67.50 , $67.50 ,,,,,,,,,,,,,1978,,,,,0,,Y,
,7/7/1978,2nd District,NE,,,,,,373 - 379,,,1011,West,,ADM SENT TO BELLEVILLE,7, $26.00 , $-   , $-   , $26.00 , $182.00 ,,,,,,,,,,,,,1979,,,,,0,,Y,
,7/7/1978,5th District,NE,,,,,,373-379,,,1011,West,,,7, $26.00 ,,, $26.00 , $182.00 ,,,,,,,,,,,,,1979,,,,,0,,Y,
,8/8/1978,1st District,US SUPREME COURT REPORTS 2D,,,,,,053 - 056,,,1790,Lawyers Co-Op,,ADM & SPI SENT TO SURPLUS 05/05,4, $21.00 , $-   , $1.70 , $22.70 , $90.80 ,,,,,,,,,,,,,1979,,,,,0,,Y,
,8/8/1978,2nd District,US SUPREME COURT REPORTS 2D,,,,,,053-056,,,1790,Lawyers Co-Op,,,4, $21.00 ,, $1.70 , $22.70 , $90.80 ,,,,,,,,,,,,,1979,,,,,0,,Y,
,8/8/1978,3rd District,US SUPREME COURT REPORTS 2D,,,,,,053 - 056,,,1790,Lawyers Co-Op,,,4, $21.00 ,, $1.70 , $22.70 , $90.80 ,,,,,,,,,,,,,1979,,,,,0,,Y,
,8/8/1978,5th District,US SUPREME COURT REPORTS 2D,,,,,,053-056,,,1790,Lawyers Co-Op,,,4, $21.00 ,, $1.70 , $22.70 , $90.80 ,,,,,,,,,,,,,1979,,,,,0,,Y,
,9/1/1978,1st District,S-H STAT,,,,,,Ch 111,,,1011,West,,SEC 101-4400 & 4401 - 7518,1, $47.00 , $-   , $-   , $47.00 , $47.00 ,,,,,,,,,,,,,1979,,,,,0,,Y,
,1/1/1979,2nd District,NE,,,,,,380 - 383,,,1011,West,,ADM SENT TO BELLEVILLE,4, $27.00 , $-   , $-   , $27.00 , $108.00 ,,,,,,,,,,,,,1979,,,,,0,,Y,
,1/1/1979,5th District,NE,,,,,,380-383,,,1011,West,,,4, $27.00 ,,, $27.00 , $108.00 ,,,,,,,,,,,,,1979,,,,,0,,Y,
,5/5/1979,5th District,CRIMINAL LAW,,,,,,,,,1011,West,,,1, $16.95 , $1.70 ,, $15.25 , $15.25 ,,,,,,,,,,,,,1979,,,,,1560,,Y,
,6/7/1979,2nd District,NE,,,,,,385,,,1011,West,,ADM SENT TO BELLEVILLE,1, $27.00 , $-   , $1.50 , $28.50 , $28.50 ,,,,,,,,,,,,,1979,,,,,0,,Y,
,6/7/1979,5th District,NE,,,,,,385,,,1011,West,,,1, $27.00 ,, $1.50 , $28.50 , $28.50 ,,,,,,,,,,,,,1979,,,,,0,,Y,
,6/7/1979,1st District,S-H STAT,,,,,,Ch 96 1/2,,,1011,West,,SEC 1-4900 TO 4901-END,1, $52.00 , $5.00 , $-   , $47.00 , $47.00 ,,,,,,,,,,,,,1979,,,,,0,,Y,
,7/7/1979,2nd District,NE,,,,,,386 - 393,,,1011,West,,ADM SENT TO BELLEVILLE,8, $28.50 , $-   , $-   , $28.50 , $228.00 ,,,,,,,,,,,,,1980,,,,,0,,Y,
,7/7/1979,5th District,NE,,,,,,386-393,,,1011,West,,,8, $28.50 ,,, $28.50 , $228.00 ,,,,,,,,,,,,,1980,,,,,0,,Y,
,8/1/1979,2nd District,US SUPREME COURT REPORTS 2D,,,,,,057,,,1790,Lawyers Co-Op,,,1, $21.00 ,, $2.00 , $23.00 , $23.00 ,,,,,,,,,,,,,1980,,,,,0,,Y,
,8/1/1979,3rd District,US SUPREME COURT REPORTS 2D,,,,,,057,,,1790,Lawyers Co-Op,,,1, $21.00 ,, $2.00 , $23.00 , $23.00 ,,,,,,,,,,,,,1980,,,,,0,,Y,
,8/1/1979,5th District,US SUPREME COURT REPORTS 2D,,,,,,057,,,1790,Lawyers Co-Op,,,1, $21.00 ,, $2.00 , $23.00 , $23.00 ,,,,,,,,,,,,,1980,,,,,0,,Y,
,8/1/1979,1st District,US SUPREME COURT REPORTS 2D,,,,,,057,,,1790,Lawyers Co-Op,,ADM & SPI SENT TO SURPLUS 05/05,1, $21.00 , $-   , $2.00 , $23.00 , $23.00 ,,,,,,,,,,,,,1980,,,,,0,,Y,
,2/2/1980,5th District,US SUPREME COURT REPORTS 2D,,,,,,058-060,,,1790,Lawyers Co-Op,,,3, $22.50 ,, $2.00 , $24.50 , $73.50 ,,,,,,,,,,,,,1980,,,,,0,,Y,
,2/2/1980,1st District,US SUPREME COURT REPORTS 2D,,,,,,058 - 060,,,1790,Lawyers Co-Op,,ADM & SPI SENT TO SURPLUS 05/05,3, $22.50 , $-   , $2.00 , $24.50 , $73.50 ,,,,,,,,,,,,,1980,,,,,0,,Y,
,2/2/1980,2nd District,US SUPREME COURT REPORTS 2D,,,,,,058 - 060,,,1790,Lawyers Co-Op,,,3, $22.50 ,, $2.00 , $24.50 , $73.50 ,,,,,,,,,,,,,1980,,,,,0,,Y,
,2/2/1980,3rd District,US SUPREME COURT REPORTS 2D,,,,,,058-060,,,1790,Lawyers Co-Op,,,3, $22.50 ,, $2.00 , $24.50 , $73.50 ,,,,,,,,,,,,,1980,,,,,0,,Y,
,2/2/1980,2nd District,NE,,,,,,394 - 399,,,1011,West,,ADM SENT TO BELLEVILLE,6, $30.00 , $-   , $-   , $30.00 , $180.00 ,,,,,,,,,,,,,1980,,,,,0,,Y,
,2/2/1980,5th District,NE,,,,,,394-399,,,1011,West,,,6, $30.00 ,,, $30.00 , $180.00 ,,,,,,,,,,,,,1980,,,,,0,,Y,
,7/1/1980,1st District,SEARCHES & SEIZURES/ARRESTS & CONFESSIONS,,,,,,Vol 01,,,1777,Clark Boardman,,,1, $50.00 , $-   , $2.11 , $52.11 , $52.11 ,,,,,,,,,,,,,1981,,,,,1560,,Y,
,7/1/1980,2nd District,US SUPREME COURT REPORTS 2D,,,,,,061,,,1790,Lawyers Co-Op,,ADM & SPI SENT TO SURPLUS 05/05,1, $22.50 , $-   , $2.00 , $24.50 , $24.50 ,,,,,,,,,,,,,1981,,,,,1398,,Y,
,7/1/1980,3rd District,US SUPREME COURT REPORTS 2D,,,,,,061,,,1790,Lawyers Co-Op,,,1, $22.50 ,, $2.00 , $24.50 , $24.50 ,,,,,,,,,,,,,1981,,,,,1398,,Y,
,7/1/1980,5th District,US SUPREME COURT REPORTS 2D,,,,,,061,,,1790,Lawyers Co-Op,,,1, $22.50 ,, $2.00 , $24.50 , $24.50 ,,,,,,,,,,,,,1981,,,,,1398,,Y,
,7/7/1980,2nd District,NE,,,,,,400 - 408,,,1011,West,,ADM SENT TO BELLEVILLE,9, $28.50 , $-   , $1.50 , $30.00 , $270.00 ,,,,,,,,,,,,,1981,,,,,1398,,Y,
,7/7/1980,5th District,NE,,,,,,400-408,,,1011,West,,,9, $28.50 ,, $1.50 , $30.00 , $270.00 ,,,,,,,,,,,,,1981,,,,,0,,Y,
,7/8/1980,1st District,EYEWITNESS IDENTIFICATION,,,,,,,,,1777,Clark Boardman,30352-001,,1, $25.00 , $-   , $-   , $25.00 , $25.00 ,,,,,,,,,,,,,1981,,,,,1560,,Y,
,10/1/1980,1st District,S-H STAT,,,,,,Ch 1-3,,,1011,West,,,1, $27.50 , $2.50 , $1.25 , $26.25 , $26.25 ,,,,,,,,,,,,,1981,,,,,0,,Y,
,10/20/1980,2nd District,HANDLING CRIMINAL APPEALS,,,,,Jonathan M. Purver & Lawrence E. Taylor,,,,1790,Lawyers Co-Op,,,1, $47.50 ,,, $47.50 , $47.50 ,,,,,,,,,,,,,1981,,,,,1560,,Y,
,2/2/1981,1st District,US SUPREME COURT REPORTS 2D,,,,,,062 - 064,,,1790,Lawyers Co-Op,,ADM & SPI SENT TO SURPLUS 05/05,3, $24.00 , $-   , $2.15 , $26.15 , $78.45 ,,,,,,,,,,,,,1981,,,,,1398,,Y,
,2/2/1981,2nd District,US SUPREME COURT REPORTS 2D,,,,,,062-064,,,1790,Lawyers Co-Op,,,3, $24.00 ,, $2.15 , $26.15 , $78.45 ,,,,,,,,,,,,,1981,,,,,1398,,Y,
,2/2/1981,3rd District,US SUPREME COURT REPORTS 2D,,,,,,062-064,,,1790,Lawyers Co-Op,,,3, $24.00 ,, $2.15 , $26.15 , $78.45 ,,,,,,,,,,,,,1981,,,,,1398,,Y,
,2/2/1981,5th District,US SUPREME COURT REPORTS 2D,,,,,,062-064,,,1790,Lawyers Co-Op,,,3, $24.00 ,, $2.15 , $26.15 , $78.45 ,,,,,,,,,,,,,1981,,,,,1398,,Y,
,2/2/1981,2nd District,NE,,,,,,409 - 415,,,1011,West,,ADM SENT TO BELLEVILLE,7, $30.00 , $-   , $1.50 , $31.50 , $220.50 ,,,,,,,,,,,,,1981,,,,,1398,,Y,
,2/2/1981,5th District,NE,,,,,,409-415,,,1011,West,,,7, $30.00 ,, $1.50 , $31.50 , $220.50 ,,,,,,,,,,,,,1981,,,,,1398,,Y,
,7/7/1981,2nd District,NE,,,,,,416 - 423,,,1011,West,,ADM SENT TO BELLEVILLE,8, $30.00 , $-   , $1.50 , $31.50 , $252.00 ,,,,,,,,,,,,,1982,,,,,1560,,Y,
,7/7/1981,5th District,NE,,,,,,416-423,,,1011,West,,,8, $30.00 ,, $1.50 , $31.50 , $252.00 ,,,,,,,,,,,,,1982,,,,,1560,,Y,
,9/1/1981,2nd District,US SUPREME COURT REPORTS 2D,,,,,,065,,,1790,Lawyers Co-Op,,,1, $24.00 ,, $2.15 , $26.15 , $26.15 ,,,,,,,,,,,,,1982,,,,,1560,,Y,
,9/1/1981,5th District,US SUPREME COURT REPORTS 2D,,,,,,065,,,1790,Lawyers Co-Op,,,1, $24.00 ,, $2.15 , $26.15 , $26.15 ,,,,,,,,,,,,,1982,,,,,1560,,Y,
,9/1/1981,1st District,US SUPREME COURT REPORTS 2D,,,,,,065,,,1790,Lawyers Co-Op,,ADM & SPI SENT TO SURPLUS 05/05,1, $24.00 , $-   , $2.15 , $26.15 , $26.15 ,,,,,,,,,,,,,1982,,,,,1560,,Y,
,10/1/1981,1st District,S-H STAT,,,,,,Ch 127,,,1011,West,,SEC 63A-END W/SPEC. PAMPHLET CH 17 SEC 101-119,1, $52.00 , $-   , $2.00 , $54.00 , $54.00 ,,,,,,,,,,,,,1982,,,,,1560,,Y,
,1/1/1982,2nd District,NE,,,,,,424 - 431,,,1011,West,,ADM SENT TO BELLEVILLE,8, $32.00 , $-   , $1.50 , $33.50 , $268.00 ,,,,,,,,,,,,,1982,,,,,1560,,Y,
,1/1/1982,5th District,NE,,,,,,424-431,,,1011,West,,,8, $32.00 ,, $1.50 , $33.50 , $268.00 ,,,,,,,,,,,,,1982,,,,,1560,,Y,
,2/2/1982,1st District,ILL DIGEST 2D,,,,,,01 - 10,,,1011,West,,,10, $34.00 , $8.00 , $-   , $26.00 , $260.00 ,,,,,,,,,,,,,1982,,,,,1560,,Y,
,3/3/1982,1st District,US SUPREME COURT REPORTS 2D,,,,,,066 - 068,,,1790,Lawyers Co-Op,,ADM & SPI SENT TO SURPLUS 05/05,3, $25.00 , $-   , $2.25 , $27.25 , $81.75 ,,,,,,,,,,,,,1982,,,,,1560,,Y,
,3/3/1982,2nd District,US SUPREME COURT REPORTS 2D,,,,,,066-068,,,1790,Lawyers Co-Op,,,3, $25.00 ,, $2.25 , $27.25 , $81.75 ,,,,,,,,,,,,,1982,,,,,1560,,Y,
,3/3/1982,3rd District,US SUPREME COURT REPORTS 2D,,,,,,066-068,,,1790,Lawyers Co-Op,,,3, $25.00 ,, $2.25 , $27.25 , $81.75 ,,,,,,,,,,,,,1982,,,,,1560,,Y,
,3/3/1982,5th District,US SUPREME COURT REPORTS 2D,,,,,,066-068,,,1790,Lawyers Co-Op,,,3, $25.00 ,, $2.25 , $27.25 , $81.75 ,,,,,,,,,,,,,1982,,,,,1560,,Y,
,7/7/1982,2nd District,NE,,,,,,432 - 438,,,1011,West,,ADM SENT TO BELLEVILLE,7, $32.00 , $-   , $1.50 , $33.50 , $234.50 ,,,,,,,,,,,,,1983,,,,,1560,,Y,
,7/7/1982,5th District,NE,,,,,,432-438,,,1011,West,,,7, $32.00 ,, $1.50 , $33.50 , $234.50 ,,,,,,,,,,,,,1983,,,,,1560,,Y,
,7/7/1982,1st District,ILL DIGEST 2D,,,,,,11 - 43,,,1011,West,,,32, $34.00 , $8.00 , $-   , $26.00 , $832.00 ,,,,,,,,,,,,,1983,,,,,1560,,Y,
,9/9/1982,1st District,US SUPREME COURT REPORTS 2D,,,,,,069 - 071,,,1790,Lawyers Co-Op,,ADM & SPI SENT TO SURPLUS 05/05,3, $25.00 , $-   , $2.25 , $27.25 , $81.75 ,,,,,,,,,,,,,1983,,,,,1560,,Y,
,9/9/1982,3rd District,US SUPREME COURT REPORTS 2D,,,,,,069-071,,,1790,Lawyers Co-Op,,,3, $25.00 ,, $2.25 , $27.25 , $81.75 ,,,,,,,,,,,,,1983,,,,,1560,,Y,
,9/9/1982,2nd District,US SUPREME COURT REPORTS 2D,,,,,,069-071,,,1790,Lawyers Co-Op,,,3, $25.00 ,, $2.25 , $27.25 , $81.75 ,,,,,,,,,,,,,1983,,,,,1560,,Y,
,9/9/1982,5th District,US SUPREME COURT REPORTS 2D,,,,,,069-071,,,1790,Lawyers Co-Op,,,3, $25.00 ,, $2.25 , $27.25 , $81.75 ,,,,,,,,,,,,,1983,,,,,1560,,Y,
,11/1/1982,2nd District,ILL REV STATUTES,,,,,,1981 - Vol 1-4,,,1011,West,,,1, $110.00 ,,, $110.00 , $110.00 ,,,,,,,,,,,,,1983,,,,,1560,,Y,
